Entity,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Country
Other Universities and Institutions,50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
School of Commerce (SOC),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
AAU in ETHIOPIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
EIABC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
Fiji National University (FNU),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fiji
The University of Fiji (UniFiji),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fiji
University of the South Pacific (USP),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fiji
National Office (FI),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Oulu,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
TAMPERE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Helsinki,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
JYVÄSKYLÄ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Turku,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Toulouse,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Lyon,66.67%,0.0%,0.0%,0.0%,100.0%,50.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Rennes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
MC France,66.67%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,200.0,0.0%,100.0%,0.0%,100.0%,400.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Montpellier Business School,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Universités de Paris,16.67%,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Rouen,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
INSG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Gabon
POG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Gabon
U.O.B.,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Gabon
Batumi,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
MC Georgia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
TBILISI,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,150.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
The University of Georgia,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
BERLIN TU,200.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,500.0,0.0%,0.0%,0.0%,0.0%,400.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,Germany
AUGSBURG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
GIESSEN-MARBURG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
KOELN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,300.0,0.0%,300.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
NUERNBERG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
HANNOVER,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
PADERBORN,266.67%,0.0%,0.0%,0.0%,266.67%,0.0%,0.0%,366.67,0.0%,0.0%,0.0%,366.67%,0.0%,0.0%,233.33,0.0%,0.0%,0.0%,233.33%,0.0%,0.0%,Germany
JENA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
MUENCHEN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
AACHEN,60.0%,0.0%,0.0%,0.0%,33.33%,200.0%,0.0%,80.0,0.0%,100.0%,0.0%,33.33%,200.0%,0.0%,20.0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,Germany
BIELEFELD,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
LUENEBURG,9.38%,9.38%,0.0%,0.0%,0.0%,0.0%,0.0%,9.38,9.38%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
HAMBURG,100.0%,0.0%,300.0%,0.0%,33.33%,0.0%,0.0%,450.0,0.0%,1700.0%,0.0%,33.33%,0.0%,0.0%,100.0,0.0%,400.0%,0.0%,0.0%,0.0%,0.0%,Germany
STUTTGART & HOHENHEIM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
DUESSELDORF,10.0%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,80.0,0.0%,100.0%,0.0%,33.33%,0.0%,0.0%,10.0,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,Germany
PASSAU,80.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,80.0,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
KARLSRUHE,150.0%,0.0%,300.0%,0.0%,100.0%,0.0%,0.0%,200.0,0.0%,300.0%,0.0%,133.33%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
LEIPZIG,25.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
GOETTINGEN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
MAINZ - WIESBADEN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
BOCHUM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
MAGDEBURG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
BRAUNSCHWEIG,60.0%,0.0%,0.0%,0.0%,60.0%,0.0%,0.0%,120.0,0.0%,0.0%,0.0%,120.0%,0.0%,0.0%,80.0,0.0%,0.0%,0.0%,80.0%,0.0%,0.0%,Germany
AIESEC in Germany,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
DRESDEN,50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
HALLE,200.0%,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,300.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
BREMEN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
MANNHEIM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
REGENSBURG,50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,75.0,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,12.5,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,Germany
MUENSTER,72.73%,0.0%,0.0%,0.0%,100.0%,66.67%,0.0%,72.73,0.0%,0.0%,0.0%,100.0%,66.67%,0.0%,18.18,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Germany
BERLIN HU,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
DARMSTADT,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
FRANKFURT (MAIN),50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,250.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
KAISERSLAUTERN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Germany
BONN,104.0%,0.0%,104.0%,0.0%,0.0%,0.0%,0.0%,228.0,0.0%,228.0%,0.0%,0.0%,0.0%,0.0%,4.0,0.0%,4.0%,0.0%,0.0%,0.0%,0.0%,Germany
Central University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
delete,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
delete,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
KNUST,31.82%,30.0%,0.0%,0.0%,50.0%,0.0%,0.0%,31.82,30.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
LEGON,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,166.67,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
LEGON Expansions,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
Member Committee Ghana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
RMU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
UCC (University of Cape Coast),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
UDS(University of Development Studies),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
UENR,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
UMaT,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ghana
Havana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Global Teams
MC Greece,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Greece
UoI,200.0%,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Greece
UoM THESSALONIKI,28.57%,16.67%,37.5%,0.0%,0.0%,100.0%,0.0%,37.14,22.22%,75.0%,0.0%,20.0%,50.0%,0.0%,20.0,16.67%,37.5%,0.0%,20.0%,0.0%,0.0%,Greece
Volos,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.67,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,16.67,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,Greece
AEGEAN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Greece
ATHENS,38.71%,33.33%,40.0%,0.0%,40.0%,40.0%,0.0%,54.84,83.33%,40.0%,0.0%,50.0%,60.0%,0.0%,29.03,66.67%,20.0%,0.0%,20.0%,20.0%,0.0%,Greece
AUTH,15.38%,8.82%,50.0%,0.0%,66.67%,0.0%,0.0%,25.64,14.71%,150.0%,0.0%,66.67%,0.0%,0.0%,17.95,8.82%,100.0%,0.0%,66.67%,0.0%,0.0%,Greece
Crete,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Greece
DUTH,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Greece
NKUA,171.43%,0.0%,300.0%,0.0%,50.0%,0.0%,0.0%,185.71,0.0%,300.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Greece
UNIPI (Piraeus),31.82%,18.18%,33.33%,0.0%,0.0%,80.0%,0.0%,40.91,36.36%,33.33%,0.0%,0.0%,80.0%,0.0%,4.55,9.09%,0.0%,0.0%,0.0%,0.0%,0.0%,Greece
PATRAS,200.0%,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Greece
MC Guatemala,120.0%,100.0%,100.0%,200.0%,0.0%,100.0%,0.0%,360.0,300.0%,600.0%,0.0%,0.0%,200.0%,0.0%,80.0,300.0%,50.0%,0.0%,0.0%,0.0%,0.0%,Guatemala
URL,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Guatemala
USAC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Guatemala
UVG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Guatemala
ITD,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Guatemala
Port au Prince,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Haiti
Tegucigalpa,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Honduras
Member Committee,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hong Kong
CityU,33.33%,0.0%,0.0%,0.0%,28.57%,50.0%,0.0%,33.33,0.0%,0.0%,0.0%,28.57%,50.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hong Kong
CUHK,28.57%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,28.57,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hong Kong
Expansions & Macau,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hong Kong
HKBU,25.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hong Kong
HKU,29.41%,0.0%,0.0%,0.0%,25.0%,100.0%,0.0%,35.29,0.0%,0.0%,0.0%,31.25%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hong Kong
HKUST,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,400.0,0.0%,0.0%,0.0%,600.0%,0.0%,0.0%,133.33,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,Hong Kong
Lingnan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hong Kong
PolyU,50.0%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,25.0,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,Hong Kong
Budapest Business School - KVIK,62.5%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,450.0,0.0%,450.0%,0.0%,0.0%,0.0%,0.0%,12.5,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,Hungary
Pecs (PeX),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.29,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hungary
MC Hungary,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hungary
Budapest Business School - KÜLKER,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hungary
Veszprém,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hungary
SZIE - Budapest,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hungary
BME - Budapest,50.0%,0.0%,66.67%,0.0%,0.0%,0.0%,0.0%,550.0,0.0%,1000.0%,0.0%,0.0%,0.0%,0.0%,33.33,0.0%,66.67%,0.0%,0.0%,0.0%,0.0%,Hungary
Budapest University - KÖZGÁZ,91.67%,0.0%,90.91%,100.0%,0.0%,0.0%,0.0%,383.33,0.0%,418.18%,0.0%,0.0%,0.0%,0.0%,50.0,0.0%,54.55%,0.0%,0.0%,0.0%,0.0%,Hungary
Budapest Business School - PSZF,300.0%,0.0%,200.0%,0.0%,0.0%,0.0%,0.0%,2400.0,0.0%,2300.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,Hungary
Debrecen,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Hungary
Reykjavik,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iceland
JAIPUR,8.22%,4.84%,20.0%,0.0%,50.0%,25.0%,0.0%,8.22,6.45%,0.0%,0.0%,50.0%,25.0%,0.0%,5.48,4.84%,0.0%,0.0%,50.0%,0.0%,0.0%,India
Visakhapatnam,40.91%,0.0%,25.0%,0.0%,44.44%,0.0%,0.0%,45.45,0.0%,50.0%,0.0%,44.44%,0.0%,0.0%,9.09,0.0%,25.0%,0.0%,5.56%,0.0%,0.0%,India
Hyderabad,4.35%,2.78%,0.0%,0.0%,14.29%,0.0%,0.0%,15.22,5.56%,0.0%,100.0%,14.29%,200.0%,0.0%,2.17,2.78%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Chandigarh,19.23%,40.0%,0.0%,16.67%,0.0%,0.0%,0.0%,26.92,40.0%,0.0%,27.78%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Lucknow,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Dehradun,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
